"","topic_short","year"
"679","Expose",2010
"680","EXPOSE",2012
"681","EXPOSE",2012
"682","EXPOSE",2009
"683","EXPOSE",2011
"684","EXPOSE",2014
"685","Expose",2012
"686","Expose",2013
"687","Expose",2010
"688","Expose",2009
"689","Expose",2012
"690","Expose",2015
"691","Expose",2012
"692","Expose",2015
"693","Expose",2015
"694","Expose",2015
"695","Expose",2015
"696","Expose",2015
"697","Expose",2015
"698","Expose",2015
"699","Expose",2015
"700","Expose",2015
"701","Expose",2016
"702","Expose",2015
"703","Expose",2015
"704","Expose",2015
"705","Expose",2015
"706","EXPOSE",2013
"707","EXPOSE",2015
"708","Expose",2016
"709","EXPOSE",2016
"710","EXPOSE",2015
"711","EXPOSE",2016
"712","EXPPCS",2007
"713","EXPPCS",2001
"714","EXPPCS",2002
"715","EXPPCS",2004
"716","EXPPCS",2005
"717","EXPPCS",2001
"718","EXPPCS",2002
"719","EXPPCS",2002
"720","EXPRESS",2008
"721","EXPRESS",2001
"722","External",2007
"723","External",2011
"724","External",2011
"725","External",2007
"726","External",2006
"727","External",2008
"728","External",2009
"729","F",2014
"730","Facet",2012
"731","FACET",2014
"732","Facet",2010
"733","FASES",2007
"734","Fases",2005
"735","FASES",2004
"736","FBCE",2015
"737","Ferulate",2005
"738","Ferulate",2009
"739","Ferulate",2011
"740","Ferulate",2012
"741","Ferulate",2015
"742","Ferulate",2005
"743","Ferulate",2009
"744","FFL",2012
"745","FFL",2009
"746","FFL",2011
"747","FFL",2015
"748","FFL",2007
"749","Field",2013
"750","FIR",2004
"751","Fish",2012
"752","Fish",2010
"753","Fish",2010
"754","Fish",2007
"755","Fish",2008
"756","Fish",2009
"757","Fish",2011
"758","Fish",2008
"759","Fish",2008
"760","Fish",2012
"761","FIT",2006
"762","FIT",2011
"763","FIT",2014
"764","FLEX",2013
"765","FLEX",2014
"766","FLEX",2014
"767","FLEX",2015
"768","FLEX",2016
"769","FLEX",2014
"770","FLEX",2015
"771","FLEX",2014
"772","FLEX",2012
"773","FLEX",2013
"774","FLEX",2014
"775","FLEX",2015
"776","FLEX",2015
"777","FLEX",2013
"778","FLEX",2014
"779","FLEX",2016
"780","FLEX",2015
"781","FLOW",2007
"782","Fluid",2015
"783","Fluid",2015
"784","FMVM",2007
"785","FMVM",2006
"786","FMVM",2009
"787","Foam",2015
"788","Foam",2008
"789","Foam",2014
"790","Foam",2014
"791","Foam",2011
"792","Foam",2011
"793","Foam",2011
"794","FOB",2012
"795","FOCUS",2010
"796","FOCUS",2011
"797","FOCUS",2014
"798","Foot",2004
"799","Foot",2009
"800","Foot",2010
"801","Foot",2009
"802","Foot",2010
"803","Foot",2010
"804","FRTL",2007
"805","FRTLS5",2010
"806","FSL",2004
"807","FSL",2003
"808","FTT",2015
"809","Functional",2012
"810","Functional",2015
"811","Functional",2015
"812","Functional",2013
"813","Functional",2015
"814","Future",2011
"815","Future",2012
"816","FWED",2008
"817","GCF",2003
"818","GCF",2007
"819","Gematologia",2004
"820","Gematologia",2008
"821","Gematologia",2006
"822","Gematologia",2007
"823","Gematologiya",2010
"824","Genara",2014
"825","Genara",2014
"826","Genara",2012
"827","Gene",2010
"828","Gene",2005
"829","Gene",2007
"830","GENE",2008
"831","Geoflow",2003
"832","Geoflow",2003
"833","GeoFlow",2015
"834","GeoFlow",2011
"835","GeoFlow",2008
"836","GeoFlow",2009
"837","GeoFlow",2008
"838","Geoflow",2009
"839","Geoflow",2003
"840","Geoflow",2006
"841","Geoflow",2011
"842","Geoflow",2009
"843","GeoFlowII",2011
"844","Germatologia",2011
"845","GraPhoBox",2007
"846","Gravi",2008
"847","Gravi",2000
"848","Gravi",2003
"849","GRAVI",2008
"850","GRAVI",2008
"851","Gravi",2005
"852","H",2003
"853","H",2001
"854","Hair",2012
"855","HDEV",2015
"856","HDEV",2016
"857","Heart",2007
"858","Heart",2006
"859","Hicari",2011
"860","Hicari",2014
"861","Hicari",2015
"862","Hicari",2014
"863","HPA",2003
"864","HREP",2012
"865","HREP",2015
"866","HREP",2010
"867","HREP",2011
"868","HREP",2013
"869","HREP",2014
"870","HREP",2013
"871","HREP",2012
"872","HREP",2013
"873","HREP",2014
"874","HREP",2004
"875","HREP",2008
"876","HREP",2010
"877","HREP",2011
"878","HREP",2010
"879","HREP",2010
"880","HREP",2008
"881","HREP",2010
"882","HREP",2012
"883","HREP",2013
"884","HREP",2010
"885","HREP",2010
"886","HREP",2010
"887","HREP",2012
"888","HREP",2012
"889","HREP",2014
"890","HREP",2013
"891","HREP",2011
"892","HREP",2012
"893","HREP",2014
"894","HREP",2009
"895","HREP",2010
"896","HREP",2009
"897","HREP",2010
"898","HREP",2011
"899","HREP",2010
"900","HREP",2012
"901","HREP",2010
"902","HREP",2011
"903","HREP",2014
"904","HREP",2014
"905","HREP",2004
"906","HREP",2005
"907","HREP",2011
"908","HREP",2012
"909","HREP",2014
"910","HREP",2012
"911","HREP",2010
"912","HREP",2012
"913","HREP",2013
"914","HREP",2012
"915","HREP",2012
"916","HREP",2011
"917","HREP",2009
"918","HREP",2009
"919","HREP",2010
"920","HREP",2011
"921","HREP",2012
"922","HREP",2012
"923","HREP",2009
"924","HREP",2011
"925","HREP",2012
"926","HRF",2005
"927","Hybrid",2015
"928","HydroTropi",2012
"929","HydroTropi",2012
"930","HydroTropi",2012
"931","HydroTropi",2012
"932","HydroTropi",2012
"933","HydroTropi",2012
"934","Hypersole",2014
"935","Hypersole",2015
"936","I",2005
"937","I",2004
"938","I",2004
"939","I",2012
"940","I",2013
"941","I",2014
"942","IAC",2010
"943","Ice",2009
"944","Ice",2011
"945","ICE",2012
"946","Ice",2011
"947","Ice",2014
"948","Ice",2014
"949","Ice",2012
"950","Ice",2014
"951","ICE",2007
"952","ICE",2008
"953","ICE",2005
"954","ICE",2014
"955","ICE",2008
"956","ICE",2008
"957","ICE",2005
"958","ICE",2006
"959","ICE",2007
"960","ICE",2011
"961","ICE",2008
"962","ICE",2006
"963","ICE",2007
"964","ICE",2006
"965","ICE",2007
"966","ICE",2009
"967","IFOAM",2016
"968","Immune",2008
"969","Immuno",2011
"970","Immuno",2008
"971","Immuno",2012
"972","Immuno",2016
"973","Impuls",2003
"974","Impulse",2009
"975","In",2015
"976","InSPACE",2008
"977","InSPACE",2009
"978","InSPACE",2012
"979","InSPACE",2014
"980","Int",2005
"981","Int",2001
"982","Int",2008
"983","Int",2006
"984","Int",2004
"985","Int",2006
"986","Int",2003
"987","Int",2004
"988","Int",2004
"989","Int",1999
"990","Int",2005
"991","Int",2010
"992","Int",2006
"993","Int",2007
"994","Integrated",2000
"995","Integrated",2001
"996","Integrated",2003
